a	silp a1
nham	ɲ a1 m1
nhan	ɲ a1 n1
nhang	ɲ a1 ŋ1
nhanh	ɲ ɛ1 ɲ1
nhau	ɲ ă1 w1
nhe	ɲ ɛ1
nhem	ɲ ɛ1 m1
nhen	ɲ ɛ1 n1
nheo	ɲ eo1
nhi	ɲ i1
nhiên	ɲ iə1 n1
nhiêu	ɲ iə1 w1
nhiếc	ɲ iə5 k5
nhiếp	ɲ iə5 p5
nhiều	ɲ iə2 w2
nhiễm	ɲ iə3 m3
nhiễu	ɲ iə3 w3
nhiệm	ɲ iə6 m6
nhiệt	ɲ iə6 t6
nho	ɲ ɔ1
nhoi	ɲ ɔ1 j1
nhoà	ɲw ʷa2
nhoài	ɲw a2 j2
nhoáng	ɲw ʷa5 ŋ5
nhu	ɲ u1
nhum	ɲ u1 m1
nhung	ɲ u1 ŋ͡m1
nhuyễn	ɲw ʷiə3 n3
nhuần	ɲw ʷɤ̆2 n2
nhuận	ɲw ʷɤ̆6 n6
nhuệ	ɲw ʷe6
nhuốc	ɲ uə5 k5
nhuộm	ɲ uə6 m6
nhà	ɲ a2
nhàm	ɲ a2 m2
nhàn	ɲ a2 n2
nhàng	ɲ a2 ŋ2
nhào	ɲ a2 w2
nhàu	ɲ ă2 w2
nhá	ɲ a5
nhác	ɲ a5 k5
nhách	ɲ a5 tʃ5
nhái	ɲ a5 j5
nhánh	ɲ ɛ5 ɲ5
nháo	ɲ a5 w5
nháp	ɲ a5 p5
nhát	ɲ a5 t5
nháy	ɲ ă5 j5
nhâm	ɲ ɤ̆1 m1
nhân	ɲ ɤ̆1 n1
nhã	ɲ a3
nhãn	ɲ a3 n3
nhãng	ɲ a3 ŋ3
nhão	ɲ a3 w3
nhé	ɲ ɛ5
nhét	ɲ ɛ5 t5
nhì	ɲ i2
nhìn	ɲ i2 n2
nhìu	ɲ i2 w2
nhí	ɲ i5
nhích	ɲ i5 tʃ5
nhím	ɲ i5 m5
nhíp	ɲ i5 p5
nhòa	ɲw ʷa2
nhòe	ɲw ʷɛ2
nhòm	ɲ ɔ2 m2
nhó	ɲ ɔ5
nhóc	ɲ ɔ5 k͡p5
nhói	ɲ ɔ5 j5
nhóm	ɲ ɔ5 m5
nhót	ɲ ɔ5 t5
nhô	ɲ o1
nhôm	ɲ o1 m1
nhõm	ɲ ɔ3 m3
nhõng	ɲ ɔ3 ŋ͡m3
nhú	ɲ u5
nhúc	ɲ u5 k͡p5
nhúm	ɲ u5 m5
nhún	ɲ u5 n5
nhúng	ɲ u5 ŋ͡m5
nhút	ɲ u5 t5
nhăn	ɲ ă1 n1
nhăng	ɲ ă1 ŋ1
nhĩ	ɲ i3
nhũ	ɲ u3
nhũng	ɲ u3 ŋ͡m3
nhơ	ɲ ɤ1
nhơn	ɲ ɤ1 n1
như	ɲ ɯ1
nhưng	ɲ ɯ1 ŋ1
nhường	ɲ ɯə2 ŋ2
nhưỡng	ɲ ɯə3 ŋ3
nhược	ɲ ɯə6 k6
nhượng	ɲ ɯə6 ŋ6
nhạc	ɲ a6 k6
nhạt	ɲ a6 t6
nhạy	ɲ ă6 j6
nhả	ɲ a4
nhảm	ɲ a4 m4
nhản	ɲ a4 n4
nhảnh	ɲ ɛ4 ɲ4
nhảy	ɲ ă4 j4
nhấc	ɲ ɤ̆5 k5
nhấm	ɲ ɤ̆5 m5
nhấn	ɲ ɤ̆5 n5
nhấp	ɲ ɤ̆5 p5
nhất	ɲ ɤ̆5 t5
nhầm	ɲ ɤ̆2 m2
nhầy	ɲ ɤ̆2 j2
nhẩm	ɲ ɤ̆4 m4
nhẫn	ɲ ɤ̆3 n3
nhậm	ɲ ɤ̆6 m6
nhận	ɲ ɤ̆6 n6
nhập	ɲ ɤ̆6 p6
nhật	ɲ ɤ̆6 t6
nhậu	ɲ ɤ̆6 w6
nhắc	ɲ ă5 k5
nhắm	ɲ ă5 m5
nhắn	ɲ ă5 n5
nhằm	ɲ ă2 m2
nhằn	ɲ ă2 n2
nhằng	ɲ ă2 ŋ2
nhẵn	ɲ ă3 n3
nhặn	ɲ ă6 n6
nhặt	ɲ ă6 t6
nhẹ	ɲ ɛ6
nhẹn	ɲ ɛ6 n6
nhẹt	ɲ ɛ6 t6
nhẽ	ɲ ɛ3
nhẽo	ɲ eo3
nhếch	ɲ e5 tʃ5
nhện	ɲ e6 n6
nhỉ	ɲ i4
nhỉnh	ɲ i4 ɲ4
nhị	ɲ i6
nhịn	ɲ i6 n6
nhịp	ɲ i6 p6
nhọ	ɲ ɔ6
nhọc	ɲ ɔ6 k͡p6
nhọn	ɲ ɔ6 n6
nhọt	ɲ ɔ6 t6
nhỏ	ɲ ɔ4
nhỏm	ɲ ɔ4 m4
nhố	ɲ o5
nhối	ɲ o5 j5
nhốt	ɲ o5 t5
nhồi	ɲ o2 j2
nhổ	ɲ o4
nhổm	ɲ o4 m4
nhộn	ɲ o6 n6
nhộng	ɲ o6 ŋ͡m6
nhớ	ɲ ɤ5
nhớt	ɲ ɤ5 t5
nhờ	ɲ ɤ2
nhờn	ɲ ɤ2 n2
nhở	ɲ ɤ4
nhỡ	ɲ ɤ3
nhợt	ɲ ɤ6 t6
nhục	ɲ u6 k͡p6
nhụt	ɲ u6 t6
nhủ	ɲ u4
nhức	ɲ ɯ5 k5
nhứt	ɲ ɯ5 t5
nhừ	ɲ ɯ2
nhử	ɲ ɯ4
những	ɲ ɯ3 ŋ3
nhựa	ɲ ɯə6
nhựt	ɲ ɯ6 t6
ni	n i1
nin	n i1 n1
ninh	n i1 ɲ1
niu	n i1 w1
niêm	n iə1 m1
niên	n iə1 n1
niết	n iə5 t5
niềm	n iə2 m2
niềng	n iə2 ŋ2
niệm	n iə6 m6
niệu	n iə6 w6
no	n ɔ1
noi	n ɔ1 j1
nom	n ɔ1 m1
non	n ɔ1 n1
nong	n ɔ1 ŋ͡m1
noãn	nw ʷa3 n3
nua	n uə1
nung	n u1 ŋ͡m1
nuôi	n uə1 j1
nuông	n uə1 ŋ1
nuối	n uə5 j5
nuốt	n uə5 t5
nuột	n uə6 t6
nà	n a2
nài	n a2 j2
nàn	n a2 n2
nàng	n a2 ŋ2
nành	n ɛ2 ɲ2
nào	n a2 w2
này	n ă2 j2
ná	n a5
nác	n a5 k5
nách	n a5 tʃ5
nái	n a5 j5
nám	n a5 m5
nán	n a5 n5
náo	n a5 w5
nát	n a5 t5
náu	n ă5 w5
nâng	n ɤ̆1 ŋ1
nâu	n ɤ̆1 w1
nã	n a3
não	n a3 w3
nãy	n ă3 j3
nè	n ɛ2
né	n ɛ5
ném	n ɛ5 m5
nén	n ɛ5 n5
nép	n ɛ5 p5
nét	n ɛ5 t5
nêm	n e1 m1
nên	n e1 n1
nêu	n ɛu1
nín	n i5 n5
nít	n i5 t5
níu	n i5 w5
nòi	n ɔ2 j2
nó	n ɔ5
nóc	n ɔ5 k͡p5
nói	n ɔ5 j5
nón	n ɔ5 n5
nóng	n ɔ5 ŋ͡m5
nô	n o1
nôi	n o1 j1
nôn	n o1 n1
nông	n o1 ŋ͡m1
nùng	n u2 ŋ͡m2
núc	n u5 k͡p5
núi	n u5 j5
núm	n u5 m5
núp	n u5 p5
nút	n u5 t5
năm	n ă1 m1
năn	n ă1 n1
năng	n ă1 ŋ1
nũng	n u3 ŋ͡m3
nơ	n ɤ1
nơi	n ɤ1 j1
nơm	n ɤ1 m1
nương	n ɯə1 ŋ1
nước	n ɯə5 k5
nướng	n ɯə5 ŋ5
nạ	n a6
nạc	n a6 k6
nại	n a6 j6
nạn	n a6 n6
nạo	n a6 w6
nạp	n a6 p6
nạt	n a6 t6
nải	n a4 j4
nản	n a4 n4
nảy	n ă4 j4
nấc	n ɤ̆5 k5
nấm	n ɤ̆5 m5
nấng	n ɤ̆5 ŋ5
nấp	n ɤ̆5 p5
nấu	n ɤ̆5 w5
nấy	n ɤ̆5 j5
nần	n ɤ̆2 n2
nẩy	n ɤ̆4 j4
nẫng	n ɤ̆3 ŋ3
nập	n ɤ̆6 p6
nắm	n ă5 m5
nắng	n ă5 ŋ5
nắp	n ă5 p5
nằm	n ă2 m2
nằng	n ă2 ŋ2
nẵng	n ă3 ŋ3
nặc	n ă6 k6
nặn	n ă6 n6
nặng	n ă6 ŋ6
nẹp	n ɛ6 p6
nẻ	n ɛ4
nẻo	n eo4
nếm	n e5 m5
nến	n e5 n5
nếp	n e5 p5
nết	n e5 t5
nếu	n ɛu5
nề	n e2
nền	n e2 n2
nể	n e4
nệm	n e6 m6
nỉ	n i4
nịch	n i6 tʃ6
nịnh	n i6 ɲ6
nịt	n i6 t6
nịu	n i6 w6
nọ	n ɔ6
nọc	n ɔ6 k͡p6
nọt	n ɔ6 t6
nỏ	n ɔ4
nối	n o5 j5
nốt	n o5 t5
nồi	n o2 j2
nồm	n o2 m2
nồng	n o2 ŋ͡m2
nổ	n o4
nổi	n o4 j4
nỗ	n o3
nỗi	n o3 j3
nộ	n o6
nội	n o6 j6
nộm	n o6 m6
nộp	n o6 p6
nới	n ɤ5 j5
nớp	n ɤ5 p5
nớt	n ɤ5 t5
nở	n ɤ4
nỡ	n ɤ3
nợ	n ɤ6
nụ	n u6
nức	n ɯ5 k5
nứt	n ɯ5 t5
nửa	n ɯə4
nữ	n ɯ3
nữa	n ɯə3
nực	n ɯ6 k6
nựng	n ɯ6 ŋ6
oa	silp w1 ʷa1
oai	silp w1 a1 j1
oan	silp w1 ʷa1 n1
oanh	silp w1 ʷa1 ɲ1
oi	silp ɔ1 j1
om	silp ɔ1 m1
ong	silp ɔ1 ŋ͡m1
oxy	silp o1 s i1
oái	silp w5 a5 j5
oán	silp w5 ʷa5 n5
oánh	silp w5 ʷa5 ɲ5
oăm	silp w1 ʷă1 m1
oải	silp w4 a4 j4
oằn	silp w2 ʷă2 n2
pa	p a1
pen	p ɛ1 n1
pha	f a1
phai	f a1 j1
phan	f a1 n1
phang	f a1 ŋ1
phanh	f ɛ1 ɲ1
phao	f a1 w1
phay	f ă1 j1
phe	f ɛ1
phen	f ɛ1 n1
phi	f i1
phim	f i1 m1
phin	f i1 n1
phiên	f iə1 n1
phiêu	f iə1 w1
phiếm	f iə5 m5
phiến	f iə5 n5
phiếu	f iə5 w5
phiền	f iə2 n2
phiện	f iə6 n6
pho	f ɔ1
phom	f ɔ1 m1
phong	f ɔ1 ŋ͡m1
phu	f u1
phui	f u1 j1
phun	f u1 n1
phung	f u1 ŋ͡m1
phuy	fw ʷi1
phà	f a2
phàm	f a2 m2
phàn	f a2 n2
phàng	f a2 ŋ2
phào	f a2 w2
phá	f a5
phác	f a5 k5
phách	f a5 tʃ5
phái	f a5 j5
phán	f a5 n5
pháo	f a5 w5
pháp	f a5 p5
phát	f a5 t5
phân	f ɤ̆1 n1
phèn	f ɛ2 n2
phèo	f eo2
phép	f ɛ5 p5
phê	f e1
phì	f i2
phình	f i2 ɲ2
phí	f i5
phía	f iə5
phím	f i5 m5
phòng	f ɔ2 ŋ͡m2
phó	f ɔ5
phóng	f ɔ5 ŋ͡m5
phô	f o1
phôi	f o1 j1
phông	f o1 ŋ͡m1
phù	f u2
phùng	f u2 ŋ͡m2
phú	f u5
phúc	f u5 k͡p5
phút	f u5 t5
phăng	f ă1 ŋ1
phũ	f u3
phơ	f ɤ1
phơi	f ɤ1 j1
phương	f ɯə1 ŋ1
phước	f ɯə5 k5
phường	f ɯə2 ŋ2
phượng	f ɯə6 ŋ6
phạm	f a6 m6
phạt	f a6 t6
phả	f a4
phải	f a4 j4
phản	f a4 n4
phảng	f a4 ŋ4
phấn	f ɤ̆5 n5
phất	f ɤ̆5 t5
phầm	f ɤ̆2 m2
phần	f ɤ̆2 n2
phẩm	f ɤ̆4 m4
phẩy	f ɤ̆4 j4
phẫn	f ɤ̆3 n3
phẫu	f ɤ̆3 w3
phận	f ɤ̆6 n6
phật	f ɤ̆6 t6
phẳng	f ă4 ŋ4
phế	f e5
phết	f e5 t5
phỏng	f ɔ4 ŋ͡m4
phố	f o5
phối	f o5 j5
phốt	f o5 t5
phồn	f o2 n2
phồng	f o2 ŋ͡m2
phổ	f o4
phổi	f o4 j4
phổng	f o4 ŋ͡m4
phộng	f o6 ŋ͡m6
phớ	f ɤ5
phớt	f ɤ5 t5
phở	f ɤ4
phụ	f u6
phục	f u6 k͡p6
phụng	f u6 ŋ͡m6
phủ	f u4
phức	f ɯ5 k5
pi	p i1
pin	p i1 n1
pop	p ɔ1 p1
pu	p u1
pô	p o1
pơ	p ɤ1
qua	kw a1
quai	kw a1 j1
quan	kw a1 n1
quang	kw a1 ŋ1
quanh	kw ɛ1 ɲ1
quay	kw ă1 j1
que	kw ɛ1
quen	kw ɛ1 n1
qui	kw i1
quy	kw i1
quyên	kw iɛ1 n1
quyến	kw iɛ5 n5
quyết	kw iɛ5 t5
quyền	kw iɛ2 n2
quyển	kw iɛ4 n4
quyện	kw iɛ6 n6
quyệt	kw iɛ6 t6
quà	kw a2
quá	kw a5
quách	kw a5 tʃ5
quái	kw a5 j5
quán	kw a5 n5
quáng	kw a5 ŋ5
quát	kw a5 t5
quân	kw ɤ̆1 n1
quây	kw ɤ̆1 j1
quãng	kw a3 ŋ3
quét	kw ɛ5 t5
quê	kw e1
quên	kw e1 n1
quí	kw i5
quý	kw i5
quýt	kw i5 t5
quăng	kw ă1 ŋ1
quơ	kw ɤ1
quại	kw a6 j6
quạnh	kw ɛ6 ɲ6
quạt	kw a6 t6
quả	kw a4
quản	kw a4 n4
quảng	kw a4 ŋ4
quấn	kw ɤ̆5 n5
quất	kw ɤ̆5 t5
quấy	kw ɤ̆5 j5
quần	kw ɤ̆2 n2
quầng	kw ɤ̆2 ŋ2
quầy	kw ɤ̆2 j2
quẩn	kw ɤ̆4 n4
quẫn	kw ɤ̆3 n3
quận	kw ɤ̆6 n6
quật	kw ɤ̆6 t6
quậy	kw ɤ̆6 j6
quắp	kw ă5 p5
quắt	kw ă5 t5
quằn	kw ă2 n2
quẳng	kw ă4 ŋ4
quặc	kw ă6 k6
quặn	kw ă6 n6
quặng	kw ă6 ŋ6
quặt	kw ă6 t6
quẹo	kw eo6
quẹt	kw ɛ6 t6
quế	kw e5
quệ	kw e6
quện	kw e6 n6
quệt	kw e6 t6
quốc	kw o5 k͡p5
quỳ	kw i2
quỳnh	kw i2 ɲ2
quỵ	kw i6
quỵt	kw i6 t6
quỷ	kw i4
quỹ	kw i3
ra	ʐ a1
rai	ʐ a1 j1
ram	ʐ a1 m1
rang	ʐ a1 ŋ1
ranh	ʐ ɛ1 ɲ1
rao	ʐ a1 w1
rau	ʐ ă1 w1
ray	ʐ ă1 j1
ren	ʐ ɛ1 n1
reo	ʐ eo1
ri	ʐ i1
rim	ʐ i1 m1
rinh	ʐ i1 ɲ1
riu	ʐ i1 w1
riêng	ʐ iə1 ŋ1
riết	ʐ iə5 t5
riềng	ʐ iə2 ŋ2
ro	ʐ ɔ1
roi	ʐ ɔ1 j1
rong	ʐ ɔ1 ŋ͡m1
ru	ʐ u1
rua	ʐ uə1
run	ʐ u1 n1
rung	ʐ u1 ŋ͡m1
ruồi	ʐ uə2 j2
ruồng	ʐ uə2 ŋ2
ruổi	ʐ uə4 j4
ruộng	ʐ uə6 ŋ6
ruột	ʐ uə6 t6
rà	ʐ a2
ràng	ʐ a2 ŋ2
rành	ʐ ɛ2 ɲ2
rào	ʐ a2 w2
rác	ʐ a5 k5
rách	ʐ a5 tʃ5
rán	ʐ a5 n5
ráng	ʐ a5 ŋ5
ráo	ʐ a5 w5
ráp	ʐ a5 p5
rát	ʐ a5 t5
râm	ʐ ɤ̆1 m1
râu	ʐ ɤ̆1 w1
rã	ʐ a3
rãi	ʐ a3 j3
rãnh	ʐ ɛ3 ɲ3
rè	ʐ ɛ2
rèm	ʐ ɛ2 m2
rèn	ʐ ɛ2 n2
rét	ʐ ɛ5 t5
rên	ʐ e1 n1
rêu	ʐ ɛu1
rìa	ʐ iə2
rình	ʐ i2 ɲ2
rìu	ʐ i2 w2
rích	ʐ i5 tʃ5
rít	ʐ i5 t5
ríu	ʐ i5 w5
rò	ʐ ɔ2
ròng	ʐ ɔ2 ŋ͡m2
róc	ʐ ɔ5 k͡p5
rói	ʐ ɔ5 j5
rót	ʐ ɔ5 t5
rô	ʐ o1
rôm	ʐ o1 m1
rôn	ʐ o1 n1
rông	ʐ o1 ŋ͡m1
rõ	ʐ ɔ3
rùa	ʐ uə2
rùng	ʐ u2 ŋ͡m2
rú	ʐ u5
rúng	ʐ u5 ŋ͡m5
rút	ʐ u5 t5
răm	ʐ ă1 m1
răn	ʐ ă1 n1
răng	ʐ ă1 ŋ1
rũ	ʐ u3
rơ	ʐ ɤ1
rơi	ʐ ɤ1 j1
rơm	ʐ ɤ1 m1
rưng	ʐ ɯ1 ŋ1
rước	ʐ ɯə5 k5
rưới	ʐ ɯə5 j5
rưỡi	ʐ ɯə3 j3
rượi	ʐ ɯə6 j6
rượt	ʐ ɯə6 t6
rượu	ʐ ɯə6 w6
rạ	ʐ a6
rạc	ʐ a6 k6
rạch	ʐ a6 tʃ6
rạn	ʐ a6 n6
rạng	ʐ a6 ŋ6
rạo	ʐ a6 w6
rạp	ʐ a6 p6
rả	ʐ a4
rải	ʐ a4 j4
rảnh	ʐ ɛ4 ɲ4
rất	ʐ ɤ̆5 t5
rầm	ʐ ɤ̆2 m2
rần	ʐ ɤ̆2 n2
rầu	ʐ ɤ̆2 w2
rầy	ʐ ɤ̆2 j2
rẩy	ʐ ɤ̆4 j4
rẫy	ʐ ɤ̆3 j3
rậm	ʐ ɤ̆6 m6
rận	ʐ ɤ̆6 n6
rập	ʐ ɤ̆6 p6
rắc	ʐ ă5 k5
rắn	ʐ ă5 n5
rắp	ʐ ă5 p5
rắt	ʐ ă5 t5
rằm	ʐ ă2 m2
rằn	ʐ ă2 n2
rằng	ʐ ă2 ŋ2
rặn	ʐ ă6 n6
rặng	ʐ ă6 ŋ6
rẻ	ʐ ɛ4
rẽ	ʐ ɛ3
rết	ʐ e5 t5
rền	ʐ e2 n2
rể	ʐ e4
rễ	ʐ e3
rệ	ʐ e6
rệt	ʐ e6 t6
rệu	ʐ ɛu6
rỉ	ʐ i4
rỉnh	ʐ i4 ɲ4
rịa	ʐ iə6
rọ	ʐ ɔ6
rọi	ʐ ɔ6 j6
rối	ʐ o5 j5
rốn	ʐ o5 n5
rốt	ʐ o5 t5
rồ	ʐ o2
rồi	ʐ o2 j2
rồng	ʐ o2 ŋ͡m2
rổ	ʐ o4
rỗ	ʐ o3
rỗi	ʐ o3 j3
rỗng	ʐ o3 ŋ͡m3
rộ	ʐ o6
rộn	ʐ o6 n6
rộng	ʐ o6 ŋ͡m6
rộp	ʐ o6 p6
rớm	ʐ ɤ5 m5
rớt	ʐ ɤ5 t5
rời	ʐ ɤ2 j2
rởm	ʐ ɤ4 m4
rỡ	ʐ ɤ3
rợn	ʐ ɤ6 n6
rợp	ʐ ɤ6 p6
rụi	ʐ u6 j6
rụng	ʐ u6 ŋ͡m6
rụt	ʐ u6 t6
rủ	ʐ u4
rủi	ʐ u4 j4
rủng	ʐ u4 ŋ͡m4
rứt	ʐ ɯ5 t5
rừng	ʐ ɯ2 ŋ2
rửa	ʐ ɯə4
rựa	ʐ ɯə6
rực	ʐ ɯ6 k6
sa	ʂ a1
sai	ʂ a1 j1
sam	ʂ a1 m1
san	ʂ a1 n1
sang	ʂ a1 ŋ1
sanh	ʂ ɛ1 ɲ1
sao	ʂ a1 w1
sau	ʂ ă1 w1
say	ʂ ă1 j1
se	ʂ ɛ1
sen	ʂ ɛ1 n1
seo	ʂ eo1
si	ʂ i1
sim	ʂ i1 m1
sinh	ʂ i1 ɲ1
siêng	ʂ iə1 ŋ1
siêu	ʂ iə1 w1
siết	ʂ iə5 t5
so	ʂ ɔ1
soi	ʂ ɔ1 j1
son	ʂ ɔ1 n1
song	ʂ ɔ1 ŋ͡m1
soái	ʂw a5 j5
soát	ʂw ʷa5 t5
soạn	ʂw ʷa6 n6
su	ʂ u1
sum	ʂ u1 m1
sung	ʂ u1 ŋ͡m1
suy	ʂw ʷi1
suyễn	ʂw ʷiə3 n3
suê	ʂw ʷe1
suôn	ʂ uə1 n1
suông	ʂ uə1 ŋ1
suýt	ʂw ʷi5 t5
suất	ʂw ʷɤ̆5 t5
suối	ʂ uə5 j5
suốt	ʂ uə5 t5
sà	ʂ a2
sài	ʂ a2 j2
sàm	ʂ a2 m2
sàn	ʂ a2 n2
sàng	ʂ a2 ŋ2
sành	ʂ ɛ2 ɲ2
sào	ʂ a2 w2
sá	ʂ a5
sách	ʂ a5 tʃ5
sái	ʂ a5 j5
sám	ʂ a5 m5
sán	ʂ a5 n5
sáng	ʂ a5 ŋ5
sánh	ʂ ɛ5 ɲ5
sáo	ʂ a5 w5
sáp	ʂ a5 p5
sát	ʂ a5 t5
sáu	ʂ ă5 w5
sâm	ʂ ɤ̆1 m1
sân	ʂ ɤ̆1 n1
sâu	ʂ ɤ̆1 w1
sãi	ʂ a3 j3
séc	ʂ ɛ5 k5
sét	ʂ ɛ5 t5
sê	ʂ e1
sì	ʂ i2
sính	ʂ i5 ɲ5
sò	ʂ ɔ2
sòng	ʂ ɔ2 ŋ͡m2
sóc	ʂ ɔ5 k͡p5
sói	ʂ ɔ5 j5
són	ʂ ɔ5 n5
sóng	ʂ ɔ5 ŋ͡m5
sót	ʂ ɔ5 t5
sô	ʂ o1
sôi	ʂ o1 j1
sông	ʂ o1 ŋ͡m1
sùi	ʂ u2 j2
sùng	ʂ u2 ŋ͡m2
súc	ʂ u5 k͡p5
sún	ʂ u5 n5
súng	ʂ u5 ŋ͡m5
súp	ʂ u5 p5
sút	ʂ u5 t5
săm	ʂ ă1 m1
săn	ʂ ă1 n1
sĩ	ʂ i3
sũng	ʂ u3 ŋ͡m3
sơ	ʂ ɤ1
sơn	ʂ ɤ1 n1
sư	ʂ ɯ1
sưa	ʂ ɯə1
sưng	ʂ ɯ1 ŋ1
sưu	ʂ ɯ1 w1
sương	ʂ ɯə1 ŋ1
sướng	ʂ ɯə5 ŋ5
sườn	ʂ ɯə2 n2
sưởi	ʂ ɯə4 j4
sượng	ʂ ɯə6 ŋ6
sạc	ʂ a6 k6
sạch	ʂ a6 tʃ6
sạm	ʂ a6 m6
sạn	ʂ a6 n6
sạp	ʂ a6 p6
sạt	ʂ a6 t6
sả	ʂ a4
sải	ʂ a4 j4
sản	ʂ a4 n4
sảng	ʂ a4 ŋ4
sảnh	ʂ ɛ4 ɲ4
sảo	ʂ a4 w4
sảy	ʂ ă4 j4
sấm	ʂ ɤ̆5 m5
sấp	ʂ ɤ̆5 p5
sấu	ʂ ɤ̆5 w5
sấy	ʂ ɤ̆5 j5
sầm	ʂ ɤ̆2 m2
sần	ʂ ɤ̆2 n2
sầu	ʂ ɤ̆2 w2
sẩy	ʂ ɤ̆4 j4
sậm	ʂ ɤ̆6 m6
sập	ʂ ɤ̆6 p6
sắc	ʂ ă5 k5
sắm	ʂ ă5 m5
sắn	ʂ ă5 n5
sắng	ʂ ă5 ŋ5
sắp	ʂ ă5 p5
sắt	ʂ ă5 t5
sẵn	ʂ ă3 n3
sặc	ʂ ă6 k6
sẹo	ʂ eo6
sẻ	ʂ ɛ4
sẽ	ʂ ɛ3
sếp	ʂ e5 p5
sề	ʂ e2
sền	ʂ e2 n2
sệ	ʂ e6
sệt	ʂ e6 t6
sỉ	ʂ i4
sịt	ʂ i6 t6
sọ	ʂ ɔ6
sọc	ʂ ɔ6 k͡p6
sỏi	ʂ ɔ4 j4
số	ʂ o5
sốc	ʂ o5 k͡p5
sống	ʂ o5 ŋ͡m5
sốt	ʂ o5 t5
sồ	ʂ o2
sồi	ʂ o2 j2
sổ	ʂ o4
sộ	ʂ o6
sớm	ʂ ɤ5 m5
sớt	ʂ ɤ5 t5
sờ	ʂ ɤ2
sở	ʂ ɤ4
sởi	ʂ ɤ4 j4
sởn	ʂ ɤ4 n4
sỡ	ʂ ɤ3
sợ	ʂ ɤ6
sợi	ʂ ɤ6 j6
sụ	ʂ u6
sụa	ʂ uə6
sục	ʂ u6 k͡p6
sụn	ʂ u6 n6
sụp	ʂ u6 p6
sụt	ʂ u6 t6
sủa	ʂ uə4
sủng	ʂ u4 ŋ͡m4
sứ	ʂ ɯ5
sứa	ʂ ɯə5
sức	ʂ ɯ5 k5
sứt	ʂ ɯ5 t5
sừng	ʂ ɯ2 ŋ2
sử	ʂ ɯ4
sửa	ʂ ɯə4
sửng	ʂ ɯ4 ŋ4
sửu	ʂ ɯ4 w4
sữa	ʂ ɯə3
sững	ʂ ɯ3 ŋ3
sự	ʂ ɯ6
sỹ	ʂ i3
ta	t a1
tai	t a1 j1
tam	t a1 m1
tan	t a1 n1
tang	t a1 ŋ1
tanh	t ɛ1 ɲ1
tao	t a1 w1
tay	t ă1 j1
te	t ɛ1
tem	t ɛ1 m1
teo	t eo1
tha	tʰ a1
thai	tʰ a1 j1
tham	tʰ a1 m1
than	tʰ a1 n1
thang	tʰ a1 ŋ1
thanh	tʰ ɛ1 ɲ1
thao	tʰ a1 w1
thau	tʰ ă1 w1
thay	tʰ ă1 j1
the	tʰ ɛ1
then	tʰ ɛ1 n1
theo	tʰ eo1
thi	tʰ i1
thinh	tʰ i1 ɲ1
thiu	tʰ i1 w1
thiêm	tʰ iə1 m1
thiên	tʰ iə1 n1
thiêng	tʰ iə1 ŋ1
thiêu	tʰ iə1 w1
thiếp	tʰ iə5 p5
thiết	tʰ iə5 t5
thiếu	tʰ iə5 w5
thiền	tʰ iə2 n2
thiều	tʰ iə2 w2
thiểu	tʰ iə4 w4
thiện	tʰ iə6 n6
thiệp	tʰ iə6 p6
thiệt	tʰ iə6 t6
thiệu	tʰ iə6 w6
tho	tʰ ɔ1
thoa	tʰw ʷa1
thoi	tʰ ɔ1 j1
thon	tʰ ɔ1 n1
thong	tʰ ɔ1 ŋ͡m1
thoái	tʰw a5 j5
thoáng	tʰw ʷa5 ŋ5
thoát	tʰw ʷa5 t5
thoại	tʰw a6 j6
thoạt	tʰw ʷa6 t6
thoả	tʰw ʷa4
thoải	tʰw a4 j4
thoảng	tʰw ʷa4 ŋ4
thu	tʰ u1
thua	tʰ uə1
thui	tʰ u1 j1
thun	tʰ u1 n1
thung	tʰ u1 ŋ͡m1
thuyên	tʰw ʷiə1 n1
thuyết	tʰw ʷiə5 t5
thuyền	tʰw ʷiə2 n2
thuê	tʰw ʷe1
thuôn	tʰ uə1 n1
thuấn	tʰw ʷɤ̆5 n5
thuần	tʰw ʷɤ̆2 n2
thuẫn	tʰw ʷɤ̆3 n3
thuận	tʰw ʷɤ̆6 n6
thuật	tʰw ʷɤ̆6 t6
thuế	tʰw ʷe5
thuốc	tʰ uə5 k5
thuộc	tʰ uə6 k6
thuột	tʰ uə6 t6
thuở	tʰ uə4
thuỳ	tʰ u2 j2
thuỷ	tʰ u4 j4
thà	tʰ a2
thành	tʰ ɛ2 ɲ2
thào	tʰ a2 w2
thày	tʰ ɤ̆2 j2
thác	tʰ a5 k5
thách	tʰ a5 tʃ5
thái	tʰ a5 j5
thám	tʰ a5 m5
thán	tʰ a5 n5
tháng	tʰ a5 ŋ5
thánh	tʰ ɛ5 ɲ5
tháo	tʰ a5 w5
tháp	tʰ a5 p5
thâm	tʰ ɤ̆1 m1
thân	tʰ ɤ̆1 n1
thâu	tʰ ɤ̆1 w1
thây	tʰ ɤ̆1 j1
thèm	tʰ ɛ2 m2
thép	tʰ ɛ5 p5
thét	tʰ ɛ5 t5
thê	tʰ e1
thêm	tʰ e1 m1
thêu	tʰ ɛu1
thì	tʰ i2
thìa	tʰ iə2
thìn	tʰ i2 n2
thình	tʰ i2 ɲ2
thí	tʰ i5
thía	tʰ iə5
thích	tʰ i5 tʃ5
