a	silp a1
chơi	c ɤ1 j1
chư	c ɯ1
chưa	c ɯə1
chưng	c ɯ1 ŋ1
chương	c ɯə1 ŋ1
chước	c ɯə5 k5
chướng	c ɯə5 ŋ5
chườm	c ɯə2 m2
chường	c ɯə2 ŋ2
chưởng	c ɯə4 ŋ4
chạc	c a6 k6
chạm	c a6 m6
chạp	c a6 p6
chạy	c ă6 j6
chả	c a4
chải	c a4 j4
chảnh	c ɛ4 ɲ4
chảo	c a4 w4
chảy	c ă4 j4
chấm	c ɤ̆5 m5
chấn	c ɤ̆5 n5
chấp	c ɤ̆5 p5
chất	c ɤ̆5 t5
chầm	c ɤ̆2 m2
chần	c ɤ̆2 n2
chẩn	c ɤ̆4 n4
chậm	c ɤ̆6 m6
chập	c ɤ̆6 p6
chật	c ɤ̆6 t6
chậu	c ɤ̆6 w6
chắc	c ă5 k5
chắn	c ă5 n5
chắp	c ă5 p5
chắt	c ă5 t5
chằm	c ă2 m2
chằng	c ă2 ŋ2
chẳng	c ă4 ŋ4
chặn	c ă6 n6
chặng	c ă6 ŋ6
chặt	c ă6 t6
chẻ	c ɛ4
chẽ	c ɛ3
chế	c e5
chếch	c e5 tʃ5
chết	c e5 t5
chỉ	c i4
chỉn	c i4 n4
chỉnh	c i4 ɲ4
chị	c i6
chịt	c i6 t6
chịu	c i6 w6
chọc	c ɔ6 k͡p6
chọi	c ɔ6 j6
chọn	c ɔ6 n6
chỏng	c ɔ4 ŋ͡m4
chốc	c o5 k͡p5
chối	c o5 j5
chốn	c o5 n5
chống	c o5 ŋ͡m5
chốt	c o5 t5
chồm	c o2 m2
chồn	c o2 n2
chồng	c o2 ŋ͡m2
chổi	c o4 j4
chỗ	c o3
chội	c o6 j6
chột	c o6 t6
chớ	c ɤ5
chớp	c ɤ5 p5
chờ	c ɤ2
chở	c ɤ4
chợ	c ɤ6
chợt	c ɤ6 t6
chục	c u6 k͡p6
chụm	c u6 m6
chụp	c u6 p6
chủ	c u4
chủng	c u4 ŋ͡m4
chứ	c ɯ5
chứa	c ɯə5
chức	c ɯ5 k5
chứng	c ɯ5 ŋ5
chừ	c ɯ2
chừa	c ɯə2
chừng	c ɯ2 ŋ2
chửa	c ɯə4
chửi	c ɯ4 j4
chửng	c ɯ4 ŋ4
chữ	c ɯ3
chữa	c ɯə3
chững	c ɯ3 ŋ3
co	k ɔ1
coi	k ɔ1 j1
com	k ɔ1 m1
con	k ɔ1 n1
cong	k ɔ1 ŋ͡m1
cu	k u1
cua	k uə1
